X,Y,COMMUNITY,RATING,DATE_RISK,COMMID,COMMTYPE,FPZONE,FMZONE,LGA,ALCOUNCIL,POPULATION,MUNSPROV,MUNSTYPE,FUELREDUC,FIREBREAK,FIREPLAN,LATITUDE,LONGITUDE
130.688930553,-13.7505416666,Nauiyu,High,2020/06/30,"397",Major,Yes,Vernon Arafura,Victoria-Daly Regional Council,Northern Land Council,"444",Victoria Daly Regional Council,Local Government Association,Yes,Yes,No,-13.750541999999999,130.688930999999997
134.247725,-11.98809,Ndjudda,Moderate,2020/06/30,"341",Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.988090000000000,134.247725000000003
130.00325,-14.24122,Nemarluk,Moderate,2020/06/30,"716",Family Outstation,No,Vernon Arafura,West Daly Regional Council,Northern Land Council,"23",West Daly Regional Council,Local Government Association,Yes,Yes,No,-14.241220000000000,130.003250000000008
131.32769,-23.22172,New Bore,Moderate,2020/06/30,"121",Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,"4",Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.221720000000001,131.327689999999990
133.8706805554,-23.765763888,New Ilparpa,Low,2020/06/30,"47",Town Camp,No,ERA,Alice Springs Town Council,Central Land Council,"52",Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.765764000000001,133.870680999999990
136.4564027778,-13.8200138889,Ngadumiyerrka,Low,2020/06/30,"545",Family Outstation,No,Arnhem,East Arnhem Regional Council,Anindilyakwa Land Council,"19",GEBIE Civil and Construction Pty Ltd,Private Enterprise,Yes,Yes,No,-13.820014000000000,136.456402999999995
134.193625,-19.6352916667,Ngalpa Ngalpa,Low,2020/06/30,"246",Town Camp,No,ERA,Barkly Regional Council,Central Land Council,"67",Barkly Regional Council,Local Government Association,Yes,Yes,No,-19.635292000000000,134.193624999999997
134.9922361111,-12.2983472222,Ngangalala,Moderate,2020/06/30,"542",Minor,No,Arnhem,East Arnhem Regional Council,Northern Land Council,"64",Dinybulu Regional Services,Aboriginal Corporation,Yes,Yes,No,-12.298347000000000,134.992235999999991
129.9158,-25.2236,Ngangurr,Moderate,2020/06/30,"16207",Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-25.223600000000001,129.915799999999990
131.87969,-23.46459,Ngankiritja,Low,2020/06/30,"765",Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,"8",MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-23.464590000000001,131.879690000000011
129.87889,-14.351111,Nganmarriyanga,High,2020/06/30,"404",Major,No,Vernon Arafura,Victoria-Daly Regional Council,Northern Land Council,"458",Victoria Daly Regional Council,Local Government Association,Yes,Yes,No,-14.351111000000000,129.878890000000013
133.27846,-19.86188,Ngappamilarnu,Moderate,2020/06/30,"731",Family Outstation,No,Barkly,Barkly Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-19.861879999999999,133.278459999999995
129.48431,-14.19288,Ngardinitchi,High,2020/06/30,"430",Family Outstation,No,Vernon Arafura,Victoria-Daly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-14.192880000000001,129.484309999999994
131.77302,-22.12594,Ngarilikirlangu,Moderate,2020/06/30,"23746",Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-22.125940000000000,131.773020000000002
129.42257,-14.46204,Ngarinthi,High,2020/06/30,"913",Family Outstation,No,Vernon Arafura,Victoria-Daly Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-14.462040000000000,129.422570000000007
133.40906,-11.86629,Ngarlu Ngarlu,High,2020/06/30,"969",Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.866289999999999,133.409060000000011
129.90876,-20.17566,Ngarnka,Moderate,2020/06/30,"869",Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-20.175660000000001,129.908760000000001
135.5745,-11.9943,Ngayawilli,Low,2020/06/30,"544",Family Outstation,No,Arnhem,East Arnhem Regional Council,Northern Land Council,"6",Marthakal Homelands & Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-11.994300000000001,135.574500000000000
135.52562,-13.54468,Ngilipitji,High,2020/06/30,"546",Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-13.544680000000000,135.525620000000004
133.45832,-11.60003,Ngipin,Moderate,2020/06/30,"802",Family Outstation,No,Arnhem,West Arnhem Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-11.600030000000000,133.458319999999986
134.79113,-21.72741,Ngkwarlerlanem,High,2020/06/30,"126",Family Outstation,No,Alice Springs,Barkly Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-21.727409999999999,134.791130000000010
134.7321,-14.7317,Ngukurr,Moderate,2020/06/30,"633",Major,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,"1350",Roper Gulf Regional Council,Local Government Association,Yes,Yes,No,-14.731700000000000,134.732100000000003
129.75694,-23.54219,Nguman,High,2020/06/30,"125",Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-23.542190000000002,129.756939999999986
